p6(a185, a142, a100, a150).
p5(a127, a191).
p19(a46, a46).
p19(a22, a22).
p13(a127, a10).
p12(a115, a115).
p2(a71, a148).
p19(a11, a11).
p2(a189, a164).
p19(a118, a118).
p2(a159, a159).
p2(a110, a110).
p19(a108, a108).
p2(a0, a0).
p2(a94, a84).
p19(a166, a166).
p2(a118, a4).
p12(a83, a1).
p2(a46, a46).
p2(a140, a140).
p12(a131, a131).
p10(a0, a0).
p2(a74, a74).
p19(a117, a117).
p2(a140, a60).
p2(a164, a164).
p5(a100, a198).
p18(a115, a115).
p12(a107, a107).
p2(a167, a167).
p2(a100, a199).
p5(a16, a119).
p19(a164, a164).
p2(a123, a123).
p12(a10, a10).
p6(a185, a143, a100, a150).
p19(a115, a115).
p12(a0, a164).
p12(a171, a171).
p18(a107, a107).
p5(a108, a55).
p10(a115, a115).
p12(a62, a62).
p2(a176, a176).
p2(a128, a84).
p12(a104, a104).
p2(a127, a127).
p2(a11, a11).
p17(a115, a115).
p12(a96, a96).
p19(a123, a123).
p5(a115, a110).
p12(a106, a122).
p19(a0, a0).
p18(a106, a122).
p2(a108, a108).
p19(a100, a100).
p19(a140, a140).
p19(a1, a1).
p17(a107, a107).
p2(a81, a64).
p2(a1, a1).
p5(a164, a157).
p5(a22, a118).
p2(a117, a117).
p19(a167, a167).
p2(a102, a132).
p2(a102, a117).
p2(a115, a115).
p5(a46, a102).
p12(a111, a111).
p2(a0, a114).
p2(a16, a16).
p2(a132, a18).
p19(a173, a173).
p12(a51, a51).
p12(a167, a167).
p2(a106, a106).
p19(a127, a127).
p19(a87, a87).
p12(a100, a100).
p5(a1, a36).
p2(a193, a31).
p2(a29, a29).
p12(a0, a0).
p19(a110, a110).
p19(a106, a106).
p2(a14, a12).
p18(a115, a65).
p19(a159, a159).
p2(a22, a22).
p5(a140, a104).
p12(a147, a1).
p19(a29, a29).
p2(a173, a173).
p6(a185, a113, a100, a150).
p19(a74, a74).
p2(a118, a118).
p5(a11, a148).
p18(a115, a13).
p2(a100, a100).
p5(a176, a102).
p2(a87, a87).
p19(a176, a176).
p5(a118, a116).
p5(a166, a107).
p19(a16, a16).
p18(a0, a118).
p2(a166, a166).
p12(a135, a135).
p12(a138, a138).
p12(a21, a104).
